Language,beamery_id,Active
Arabic,03e61af8-f7c0-4337-b5f2-f660ff25a13f,True
Armenian,9fac2b10-dc49-44d0-b188-28a4c061599d,True
Azerbaijani,e8269956-0cca-4368-a366-14fed86f9fe0,True
Bengali,11bef47d-cc86-4eb7-9e46-3fd3f983f41e,True
Bosnian,455271fb-6753-4537-8331-5a94002aa508,True
Burmese,a973b7cb-91cb-4e2c-8375-248cfd57d843,True
Chinese,574f8406-8cdf-43bd-9b39-9deda0ebae85,True
Croatian,7d2e9b63-83f0-4c4e-94b4-5920a50130cb,True
Dutch,e909ed26-4830-4e4d-8b23-dd56f0a06c03,True
English,ccc7bd18-ec38-414f-85ed-18a184805caa,True
French,d6892b71-197c-4ce4-815f-a8a0fdc82074,True
German,a5621cc0-f60b-4213-ac60-1dd17852d60d,True
Greek,a4a32ba9-7e31-43dc-be9f-a214e6e14b31,True
Gujarati,2f781b7b-ed36-48e6-bd7c-23f793a61a33,True
Hausa,58203a76-bc7a-4a9c-9f41-6d5736f761bb,True
Hebrew,520625d3-265c-4910-93d4-7ebd0f8332a9,True
Hindi,d29e0209-459d-4a03-8052-7fbb4b0417f5,True
Italian,567bcfa2-3ba4-407d-9727-4ce431c83362,True
Japanese,297d982e-c466-4d42-ab19-70ffe43b4946,True
Javanese,9873d783-894a-484e-83c8-721039b630a4,True
Kannada,019da19d-40d2-47dc-aa9a-028582545744,True
Kazakh,b5d7ad72-864e-4022-95dc-8f30f0637af8,True
Korean,efa21c57-c564-493b-81a0-1bdbf2b1c1e8,True
Kurdish,cc5e545f-2676-4036-8550-621ce3bb923b,True
Lao,27ae80ca-8d13-49f5-aa4b-3570001e2cb8,True
Malayalam,fe3680e3-fff5-4212-af4c-ee9335345ed4,True
Marathi,6ee44e08-57d2-4d05-8685-cf1a477a3bde,True
Nauru,90c75418-40ea-470d-ab6c-51d446550fb2,True
Norwegian,790b03c1-3859-4cfb-96d1-b720d52aca84,True
Oriya,fea8da5b-b89b-4257-860d-6168c5e0c00f,True
Persian,82f62da3-278c-4115-9861-361b29f8572d,True
Polish,58a66677-3100-48ef-b2b2-ecb8becce8bb,True
Portuguese,0e382907-a8a0-4576-87bc-e6b583dfa698,True
Romanian,d8649f28-c26d-42f5-802f-90454143c220,True
Russian,d6689b8a-c021-4f0d-997b-b83f9d7213ba,True
Samoan,6292a882-5391-4d78-8295-896e8bf034c1,True
Serbian,0ddddced-d3f4-4e81-b94a-86e91357b792,True
Sindhi,5ef48488-4344-4581-b794-230e094ee5bd,True
Slovak,c42a52b8-3713-4daf-8acb-bdfa61573278,True
Slovenian,92b2f46e-808c-4f3c-ab95-bb5603eff1d4,True
Somali,8e94a366-a912-4d7b-8a00-399dedfe03ec,True
Spanish,70bdc834-fc75-4fd8-9f75-8c96853d36b8,True
Sundanese,d650ec84-59f3-449c-97b6-6d12a8af5f2e,True
Swahili,d94db351-2a5b-4c7c-ba09-ef9a1d9d6419,True
Swati,9544e67e-3e78-4289-bb59-54ad1e9b6398,True
Swedish,be29bb00-c39d-4183-8b40-8ca8bb1f0eaa,True
Tagalog,7c3d31e4-c525-4754-bfd1-419612a36818,True
Tajik,e473743c-3287-405a-85b1-5232ce7b6ea9,True
Tamil,b8a07ba0-f4ee-4492-aa01-52e44f1fd87c,True
Telugu,a339d116-3941-4c98-b303-b7a9a6de9e7a,True
Thai,df126388-95e2-4614-9919-1a7924938b95,True
Turkish,1abec3d6-4bb9-4416-ae29-bc378a51edef,True
Ukrainian,fcd85545-ae32-464a-bc85-fb4a9bd27ec8,True
Vietnamese,f2374231-5655-4950-a868-cf7b1061bbdc,True
Yoruba,efa7ba88-7f64-40ca-bd63-32649a4a416f,True
